order_detail_id,order_id,pizza_id,quantity
23179,27236,pz_0377,1
75465,51059,pz_0153,2
170029,81554,pz_0083,3
46582,20574,pz_0206,3
185978,73574,pz_0041,1
28023,47524,pz_0016,1
128444,52647,pz_0298,1
65255,58854,pz_0351,2
182400,71502,pz_0098,2
69458,4629,pz_0033,3
137410,40777,pz_0144,1
95311,22573,pz_0246,2
111607,30565,pz_0115,3
54152,45634,pz_0104,1
193437,25509,pz_0137,1
23521,51370,pz_0020,1
39186,37857,pz_0330,2
128610,13718,pz_0037,1
40226,10593,pz_0082,3
109702,4649,pz_0376,1
8240,65673,pz_0214,1
29994,36414,pz_0083,1
72833,37509,pz_0121,3
144887,35030,pz_0023,4
1366,45487,pz_0026,1
90851,51946,pz_0261,1
144894,18781,pz_0234,3
32684,66443,pz_0136,1
75358,10270,pz_0285,1
7906,84221,pz_0073,1
52396,52713,pz_0101,4
155014,44122,pz_0289,2
7074,80000,pz_0128,1
41786,14486,pz_0032,1
145129,13728,pz_0324,1
143816,26755,pz_0241,2
126529,46082,pz_0293,1
128029,47556,pz_0380,1
149064,80851,pz_0278,1
153498,82778,pz_0208,1
89357,38371,pz_0285,1
102617,19551,pz_0021,4
130861,73505,pz_0316,1
15381,44085,pz_0093,
82105,63602,pz_0153,2
58518,73195,pz_0036,4
58724,50851,pz_0370,2
133431,79785,pz_0036,1
5749,20394,pz_0268,1
55230,48244,pz_0051,3
107506,41839,pz_0304,1
9672,75828,pz_0180,3
15583,47806,pz_0350,2
121441,29853,pz_0260,1
188348,12241,pz_0222,2
144261,64210,pz_0057,1
85244,77598,pz_0228,1
124206,33090,pz_0261,2
27318,82686,pz_0169,1
143051,44909,pz_0139,1
99877,81476,pz_0185,3
94722,65539,pz_0249,3
110597,12497,pz_0341,1
76979,12666,pz_0318,1
22643,82090,pz_0171,2
24090,8432,pz_0319,1
149174,65003,pz_0041,2
100929,81310,pz_0095,1
190730,15536,pz_0379,2
90378,44911,pz_0188,3
29758,155,pz_0358,3
60593,44936,pz_0183,1
191315,14922,pz_0218,1
67905,54185,pz_0153,1
145318,4882,pz_0114,2
11185,1889,pz_0365,4
132644,54744,pz_0107,2
191605,52430,pz_0301,3
160200,19400,pz_0294,1
104898,22822,pz_0244,1
193197,79560,pz_0083,1
8041,28184,pz_0340,4
1020,55457,pz_0186,1
98769,2731,pz_0312,1
81847,7790,pz_0099,1
127267,6981,pz_0331,2
38771,185,pz_0201,3
40109,21049,pz_0345,2
162821,26322,pz_0052,1
102291,16456,pz_0047,4
98942,33066,pz_0194,3
100207,36835,pz_0155,1
69451,26799,pz_0045,2
156673,30079,pz_0150,1
184696,8422,pz_0250,1
46241,3404,pz_0056,1
75718,31805,pz_0090,1
169906,76298,pz_0332,1
14691,13992,pz_0272,3
48988,29916,pz_0328,2
2211,69041,,3
64876,77699,pz_0277,1
102365,75505,pz_0274,3
43190,67073,pz_0366,1
145323,17137,pz_0292,2
59757,43354,pz_0037,1
157337,83638,pz_0110,1
37117,431,pz_0381,3
12173,42180,pz_0032,2
7822,65353,pz_0080,1
139898,51143,pz_0313,3
143942,52639,pz_0261,4
80487,63453,pz_0243,2
22652,28396,pz_0239,1
3692,65627,pz_0214,4
74771,25952,pz_0363,1
79445,41279,pz_0237,2
170840,44469,pz_0315,2
41663,60530,pz_0291,2
46956,24475,pz_0307,2
123368,17109,pz_0282,1
21614,24002,pz_0215,3
20905,76059,pz_0243,1
136519,26351,pz_0011,2
171525,56788,pz_0096,1
157497,19375,pz_0219,2
59875,74501,pz_0028,2
126277,50564,pz_0112,1
31227,14971,pz_0299,1
7092,18993,pz_0304,4
57051,54125,pz_0232,2
86253,32425,pz_0387,1
41291,31214,pz_0373,3
140476,30377,pz_0264,2
140725,50992,pz_0156,2
101057,80080,pz_0051,2
62769,49651,pz_0018,1
81466,22364,pz_0085,1
24163,2336,pz_0276,1
13641,17485,pz_0210,4
130344,17811,pz_0031,4
20184,17406,pz_0110,1
45976,10357,pz_0337,1
111450,80077,pz_0111,2
3687,41152,pz_0116,1
142233,63426,pz_0293,1
44372,33876,pz_0318,1
86303,12609,pz_0145,2
144339,78007,pz_0102,1
39618,82139,pz_0242,2
147407,48149,pz_0326,1
138278,45790,pz_0083,1
62033,51447,pz_0237,3
174607,73994,pz_0265,3
166664,69594,pz_0206,2
93297,24517,pz_0081,1
21061,1831,pz_0368,1
103812,43983,pz_0340,2
176307,48140,pz_0381,2
189249,26936,pz_0199,1
141145,7261,pz_0164,1
191734,29371,pz_0285,1
76039,558,pz_0332,2
36419,3929,pz_0116,1
185767,31321,pz_0349,1
56945,32485,pz_0255,1
157574,17302,pz_0355,2
135441,74303,pz_0276,2
22969,48635,pz_0224,1
57857,65828,pz_0044,2
158741,43841,pz_0372,2
24021,44027,pz_0199,3
118677,22010,pz_0243,1
129129,4188,pz_0155,2
20501,75832,pz_0210,1
118308,49947,pz_0199,1
9089,80367,pz_0376,1
101102,40396,pz_0337,2
102625,24768,pz_0008,1
94233,9618,pz_0102,4
170699,51689,pz_0286,1
132448,10521,pz_0239,2
89666,11129,pz_0314,1
73296,67086,pz_0274,1
114553,85072,pz_0067,1
60927,45145,pz_0003,1
38662,8966,pz_0041,2
78428,8895,pz_0041,2
9367,77251,pz_0364,2
167986,83807,pz_0079,1
192519,54402,pz_0216,4
98419,31519,pz_0322,1
1294,67805,pz_0301,1
59595,56138,pz_0364,1
47945,75037,pz_0198,1
105396,81426,pz_0098,1
50408,13474,pz_0150,2
66446,76433,pz_0023,1
145199,42452,pz_0283,2
16435,9684,pz_0367,3
26565,80769,pz_0257,2
20154,18446,pz_0114,2
880,30379,pz_0025,1
70383,49780,pz_0010,3
109781,8280,pz_0217,1
34693,24140,pz_0222,1
38126,52309,pz_0267,2
186422,26568,pz_0164,1
59306,80690,pz_0366,3
91597,55972,pz_0282,1
53215,65676,pz_0220,2
69839,48230,pz_0299,1
109400,12666,pz_0276,2
44991,28742,pz_0383,2
168936,7772,pz_0348,1
25070,7548,pz_0221,2
85009,29942,pz_0363,3
164646,31115,pz_0114,3
148540,76410,pz_0373,2
130564,40346,pz_0081,
10922,4545,pz_0307,1
151409,54921,pz_0212,2
128119,81120,pz_0363,2
128099,58328,pz_0168,1
168813,18983,pz_0217,3
189130,51237,pz_0380,2
112080,58860,pz_0201,1
179053,56329,pz_0330,1
117417,57119,pz_0313,1
98869,51323,pz_0166,1
189280,67277,pz_0365,1
189027,30630,pz_0377,2
178751,51726,pz_0353,4
85832,14770,pz_0071,2
162189,63568,pz_0127,1
90561,81443,pz_0313,3
92241,20441,pz_0205,1
109826,29418,pz_0069,1
117509,1628,pz_0219,1
19154,20781,pz_0335,1
185452,76540,pz_0183,2
42917,43953,pz_0276,2
72606,44584,pz_0172,1
32383,3972,pz_0215,2
157429,73191,pz_0166,2
157051,83803,pz_0224,1
99270,83304,pz_0231,1
110245,17598,pz_0382,1
189610,28135,pz_0046,1
10521,42675,pz_0311,1
53230,11789,pz_0278,3
121500,24132,pz_0245,3
59158,75395,pz_0226,2
155906,28339,pz_0227,1
143486,58378,pz_0217,2
69133,64141,pz_0282,1
50244,67463,pz_0252,1
8060,8206,pz_0029,2
12629,2996,pz_0383,4
168091,1013,pz_0112,1
15240,48046,pz_0252,2
14848,55491,pz_0127,1
126673,71235,pz_0349,1
98811,45311,,1
112440,71507,pz_0096,2
105618,42018,pz_0160,2
7604,53133,pz_0061,3
55896,50896,pz_0334,1
175666,46860,pz_0108,1
130450,51078,pz_0213,1
138285,51865,pz_0150,1
53998,11364,pz_0371,2
127005,72343,pz_0289,4
116519,3089,pz_0272,1
150692,71143,pz_0203,1
4205,48898,pz_0239,2
13270,6812,pz_0073,2
72518,10387,pz_0345,1
105401,59786,pz_0283,3
167236,7078,pz_0012,2
58521,66922,pz_0099,2
109387,38133,pz_0210,1
9423,84698,pz_0152,1
77064,62318,pz_0235,2
6487,18232,pz_0168,3
130601,83009,pz_0140,2
128495,55536,pz_0091,2
68840,43259,pz_0321,1
110623,39363,pz_0186,2
58721,42940,pz_0253,2
27648,74855,pz_0029,2
177412,83166,pz_0299,1
37736,2803,pz_0152,2
54831,42173,pz_0282,3
137862,69439,pz_0204,3
67172,6823,pz_0154,1
170545,74538,pz_0175,2
116345,46210,pz_0160,1
152874,4010,pz_0110,1
43907,61729,pz_0013,1
72889,83345,pz_0235,2
10320,12963,pz_0196,3
176945,69429,pz_0201,2
97181,15985,pz_0108,1
126057,80722,pz_0370,3
114944,75566,pz_0035,1
99591,58778,pz_0224,2
77028,9324,pz_0345,1
79253,23109,pz_0307,1
154275,21719,pz_0078,2
35606,39418,pz_0251,1
159716,6927,pz_0127,1
107061,50836,pz_0201,4
29748,42582,pz_0262,1
104377,74009,pz_0151,1
122244,38549,pz_0256,2
70168,64022,pz_0258,1
128304,53980,pz_0121,3
37035,73120,pz_0075,4
143837,54758,pz_0289,1
18877,29062,pz_0224,1
99562,9945,pz_0142,
68710,55334,pz_0370,
117931,21272,pz_0130,2
187281,10172,pz_0046,1
194162,76515,pz_0305,4
100466,7163,pz_0294,1
48523,63870,pz_0069,2
63698,57597,pz_0370,1
169573,9479,pz_0319,1
68724,5433,pz_0193,1
165328,32009,pz_0024,2
148416,80751,pz_0122,2
6243,25879,pz_0088,3
81551,33899,pz_0015,1
154362,359,pz_0253,2
193382,16857,pz_0080,2
17340,54168,pz_0180,4
146799,44241,pz_0058,1
102319,16000,pz_0004,1
37548,60755,pz_0294,2
114440,24206,pz_0301,1
20161,60861,pz_0183,2
128110,80378,pz_0165,4
108117,27939,pz_0118,1
18441,18820,pz_0177,2
77982,76490,pz_0054,1
182509,6477,pz_0027,2
120247,33756,pz_0350,1
110134,17343,pz_0272,
69667,48412,pz_0007,1
191962,48887,pz_0265,3
33683,14157,pz_0347,1
147592,44898,pz_0142,1
172634,21287,pz_0360,2
143369,2769,pz_0176,2
106712,83620,pz_0145,1
186609,53378,pz_0099,1
1105,39036,pz_0185,2
185277,55956,pz_0322,3
18673,67259,pz_0150,2
128455,55402,pz_0293,3
70868,72799,pz_0040,2
87336,33535,pz_0318,2
24198,27150,,1
178741,55669,pz_0005,4
28242,79177,pz_0043,1
20147,18847,pz_0280,2
65548,30370,pz_0085,1
145649,69735,pz_0007,2
180506,5954,pz_0341,1
46689,10327,pz_0140,1
47460,32989,pz_0240,1
187014,22485,pz_0264,1
49611,55936,pz_0012,1
33381,26424,pz_0069,1
40117,47499,pz_0242,1
133042,63508,pz_0207,4
171232,74968,pz_0122,2
97488,45636,pz_0018,1
82271,1231,pz_0354,2
10833,51707,pz_0135,4
119777,38954,pz_0329,2
18204,32756,pz_0325,1
103778,38078,pz_0124,1
39381,10975,pz_0291,3
113313,5425,pz_0285,1
3060,23442,pz_0006,1
88901,63111,pz_0184,2
58599,79145,pz_0125,1
7417,66167,pz_0303,3
80239,26888,pz_0179,1
77802,79479,pz_0172,2
8729,41148,pz_0320,2
55638,42924,pz_0219,1
109228,71157,pz_0102,1
102295,58148,pz_0349,2
17490,61000,pz_0363,2
68542,65684,,3
78862,10331,pz_0155,2
119133,55591,pz_0256,1
65094,44205,pz_0307,1
135254,41013,pz_0321,1
43710,57058,pz_0276,1
23856,14584,pz_0005,2
57987,69163,pz_0070,1
43954,60543,pz_0348,2
39710,4820,pz_0229,2
123263,20140,pz_0160,1
77690,84814,pz_0262,2
47018,64215,pz_0189,1
51698,83029,pz_0197,2
62038,61906,pz_0218,1
120729,44742,pz_0233,2
14339,50753,pz_0004,2
147493,39930,pz_0046,3
140741,43821,pz_0026,1
105422,55040,pz_0195,3
18619,77024,pz_0377,1
1604,20639,pz_0170,3
29264,35473,pz_0136,2
144549,73574,pz_0079,1
87326,49063,pz_0168,3
162941,57485,pz_0032,4
149935,82623,pz_0156,3
42883,31170,pz_0316,1
122666,44094,pz_0047,2
98713,34490,pz_0186,1
168533,5221,pz_0363,1
80354,25812,pz_0190,1
42638,37093,pz_0093,2
12722,75728,pz_0098,1
65856,5204,pz_0204,4
122315,46345,pz_0230,1
14049,22154,pz_0227,1
138062,7815,pz_0040,2
68429,52734,pz_0009,1
49798,48825,pz_0065,1
153129,30558,pz_0274,2
104131,39329,pz_0114,1
108,42956,pz_0269,1
78811,45510,pz_0388,1
3883,51236,pz_0098,1
59540,58783,pz_0024,1
87923,18270,pz_0124,1
74395,34186,pz_0072,3
60889,76395,pz_0079,1
821,77622,pz_0269,1
30964,22546,pz_0178,1
65647,27652,pz_0008,1
124127,39441,pz_0240,1
92759,41699,pz_0146,2
41556,4206,pz_0029,2
152334,61621,pz_0116,2
88279,1236,pz_0347,1
132960,19665,,1
166193,26561,pz_0004,3
123029,79855,pz_0190,4
104514,33504,pz_0306,4
21700,23080,pz_0031,1
11024,19241,pz_0227,1
35851,16261,pz_0102,1
165061,65555,pz_0305,2
42611,16529,pz_0240,2
143363,77240,pz_0197,2
114317,16191,pz_0042,1
60764,10452,pz_0249,4
185149,82137,pz_0272,1
65814,17128,pz_0373,1
158356,36380,pz_0192,3
169878,31070,pz_0366,2
114405,61138,pz_0278,1
174541,43565,pz_0003,1
186380,38590,pz_0257,4
168110,56277,pz_0355,2
40484,61848,pz_0331,1
113192,65187,pz_0094,1
148678,2257,pz_0008,2
151820,59253,pz_0351,1
25624,74434,pz_0137,1
34224,66835,pz_0150,1
148442,68820,pz_0132,2
11126,50440,pz_0198,2
156274,72101,pz_0309,1
81239,33184,pz_0153,1
166720,74381,pz_0368,2
76609,64752,pz_0359,3
33345,77296,pz_0300,2
155281,3949,pz_0159,1
89069,63507,pz_0309,1
127821,34332,pz_0209,2
185999,19406,pz_0382,4
