order_id,date,time
53143,2023-10-19,19:22:31
19912,2023-04-21,21:54:57
82571,2023-05-27,17:57:24
38004,2023-06-14,13:03:02
51225,2023-01-27,19:37:50
43072,2023-02-07,17:56:22
49920,2023-12-19,11:01:21
66988,2023-01-23,13:28:39
9088,2023-11-07,18:02:23
72848,2023-08-24,19:10:50
47099,2023-01-12,20:38:08
41734,2023-03-05,20:22:46
15278,2023-05-31,17:23:21
38106,2023-11-11,17:01:03
68741,03/17/2023,13:21:27
69902,2023-05-01,13:00:44
15222,2023-05-08,15:42:41
13434,2023-11-16,20:28:55
59118,2023-05-27,13:50:38
62104,2023-03-08,19:04:33
32245,2023-11-09,18:47:20
54462,2023-10-09,18:31:43
43486,2023-10-23,18:41:31
57203,2023-07-17,14:58:37
72616,2023-12-19,21:30:26
553,2023-02-20,22:28:05
79044,08-01-2023,17:49:41
45351,2023-05-30,18:00:42
24885,2023-08-06,21:02:26
59463,2023-03-02,19:13:10
57183,2023-03-30,17:55:16
82990,2023-01-02,20:10:30
7808,2023-02-14,21:28:45
62766,2023-07-22,16:57:18
77426,2023-07-10,16:18:01
24429,2023-09-20,17:45:22
56729,2023-12-22,14:54:12
24451,2023-08-28,20:18:31
42946,2023-11-28,14:19:03
10235,2023-07-20,17:51:50
12008,2023-08-27,20:38:05
45353,2023-08-20,19:53:54
52376,2023-10-04,19:27:37
44661,2023-06-22,20:59:02
49604,2023-07-08,21:27:51
76327,2023-02-26,16:32:45
55227,2023-07-10,21:09:10
60639,2023-08-02,19:36:41
26466,2023-08-21,19:23:34
25503,2023-03-28,21:43:58
12444,2023-06-06,12:03:37
53661,2023-11-22,17:35:04
74321,2023-11-07,18:53:35
65889,2023-04-19,16:41:56
43182,2023-08-23,21:07:07
16562,2023-02-06,21:26:32
45954,2023-06-18,11:32:43
65496,2023-12-05,18:09:00
68278,2023-03-02,13:08:16
45290,2023-09-01,20:02:08
84957,2023-02-28,20:23:05
59720,2023-09-01,14:55:33
78288,22-08-2023,14:41:28
45277,2023-03-29,12:25:50
11243,2023-05-15,13:18:44
79702,2023-08-11,11:06:41
46815,2023-08-09,20:48:12
37263,2023-09-02,14:14:09
83242,2023-01-09,13:55:14
76070,2023-11-18,20:06:45
45510,2023-05-15,17:58:22
18202,2023-11-22,
61643,2023-03-12,21:29:59
23250,2023-09-10,20:08:08
43110,2023-04-06,20:05:04
42956,2023-01-21,14:42:19
55797,2023-08-03,19:24:30
49807,2023-09-29,14:26:31
9637,2023-08-19,15:44:26
30795,2023-09-05,19:27:27
5900,2023-06-11,18:08:17
75180,2023-08-16,20:52:28
84786,2023-10-14,18:09:03
30757,2023-02-05,20:29:00
16702,2023-12-09,14:14:33
9277,2023-01-16,21:33:35
1947,2023-10-09,19:51:10
62208,2023-03-31,21:03:17
415,2023-11-28,13:04:21
20912,2023-07-14,20:30:27
77851,2023-01-27,12:00:48
57386,2023-04-25,14:02:27
81286,2023-11-08,18:25:09
79952,2023-10-01,19:15:23
24111,2023-01-31,
68677,2023-09-22,16:03:22
24558,2023-02-10,11:52:14
52406,2023-06-26,18:58:59
60003,2023-06-17,13:03:11
15459,2023-11-07,16:48:23
54324,2023-09-02,14:54:29
56240,2023-02-12,
85161,2023-11-20,17:54:36
3507,2023-04-19,20:07:16
36873,2023-03-13,17:25:32
33857,2023-06-09,17:06:22
45889,2023-01-27,20:20:30
19682,2023-06-19,22:04:41
19789,2023-08-13,14:10:32
43356,2023-03-12,19:15:36
76201,2023-11-08,18:32:48
3688,2023-02-26,21:44:26
68049,2023-08-23,13:41:05
35090,2023-06-26,21:47:06
61337,2023-01-20,21:34:24
23271,03/14/2023,18:35:33
28730,2023-11-20,15:42:06
69526,2023-02-16,18:22:06
17322,2023-01-21,20:38:14
34590,2023-10-21,14:16:40
78653,2023-03-29,19:15:06
75384,2023-05-06,19:21:21
35349,2023-09-28,13:25:28
8382,2023-09-14,21:59:55
43406,2023-05-20,21:21:06
30341,2023-10-13,17:13:27
30047.0,2023-02-01,18:44:06
6541,2023-04-12,22:12:36
10233,2023-11-29,20:29:13
51812,2023-03-25,20:08:26
43726,2023-09-04,13:51:41
38084,2023-02-16,18:37:44
39191,,20:04:43
83883,2023-04-30,20:57:56
78882,2023-06-21,18:21:51
60865,2023-12-08,19:28:07
6279,2023-11-20,13:44:16
47681,2023-11-07,12:46:16
38851,03/29/23,21:31:44
66059,2023-09-01,21:50:44
25169,2023-02-23,20:30:33
67270,2023-09-06,12:27:56
20345,2023-06-24,13:12:58
39567.0,2023-10-01,20:38:23
83720,2023-04-10,14:26:35
19394,2023-05-17,13:02:15
83534,2023-10-22,13:58:46
56350,2023-06-06,14:02:37
63421,2023-09-04,15:56:17
70249,2023-08-22,13:44:14
75451,2023-01-25,19:55:16
66908,2023-08-23,21:40:28
21295,10/13/23,13:13:14
43497,2023-04-25,21:29:00
83754,2023-12-31,14:57:04
20797,2023-03-25,
49113,2023-05-13,12:02:45
30429.0,2023-12-08,15:58:36
26703,2023-07-04,19:05:09
12282,2023-05-16,14:44:37
55106,2023-03-10,18:24:46
15410,2023-01-17,13:12:11
49581,2023-11-12,19:55:08
41123,2023-02-26,19:15:20
6077,2023-06-07,20:42:52
82035,07/16/23,20:22:10
55360,2023-10-06,12:07:11
39042.0,2023-03-22,18:20:59
39737,2023-02-03,14:54:04
5468,07/16/23,11:57:14
44436,2023-01-20,14:11:38
23321,2023-10-09,21:42:27
56572,2023-11-03,13:59:22
13506,2023-12-14,21:03:43
71663,2023-06-30,16:25:00
74917,07/21/23,19:41:30
79051,2023-11-03,18:06:21
39584,2023-02-26,19:55:09
81140,2023-09-16,12:09:41
69560,2023-08-01,12:42:14
63584,2023-06-18,19:52:10
18383,2023-05-28,14:31:09
51673,2023-01-28,15:19:41
31529,2023-09-13,13:30:50
59760,2023-03-18,16:43:10
33575,15-02-2023,17:53:22
56722,2023-05-08,21:35:45
3305,2023-11-05,20:26:37
70194,03/16/23,20:17:58
11578,2023-08-30,13:58:40
50556,2023-10-27,20:11:05
41558,2023-11-19,16:57:23
76133,08/01/2023,12:20:28
43037,2023-08-14,15:22:24
46342,2023-09-30,20:41:48
56508,2023-03-29,20:43:44
64477,2023-05-16,14:35:32
39796,2023-09-28,19:58:13
84622,2023-07-25,13:57:27
1372,2023-04-30,12:00:36
63145,2023-06-03,13:52:42
80048,2023-12-23,20:42:37
60591,2023-07-13,17:40:28
60116,2023-12-04,16:08:20
83274,2023-01-28,21:04:08
33263,2023-12-18,12:20:58
14521,2023-08-24,22:10:21
1038,2023-02-25,19:15:36
24775,2023-05-13,16:01:59
24047,2023-01-02,13:11:09
55808.0,2023-08-05,19:39:59
85252,2023-09-07,18:33:17
52116,2023-01-26,19:07:51
4999,2023-01-23,14:05:27
31822,2023-11-08,13:34:57
39175,2023-02-25,17:16:53
73710,2023-02-03,17:12:30
50875,2023-05-31,20:26:18
6733,2023-05-23,17:52:44
35152,2023-11-04,18:41:12
78208,2023-06-23,16:51:13
18042,2023-06-18,17:13:15
30524,2023-05-08,21:55:43
53016,2023-10-12,13:27:38
49796,2023-07-27,16:03:17
4695,2023-09-07,13:25:23
866,2023-06-05,
50314,2023-03-09,17:51:37
19586,08/22/2023,22:18:50
18447,2023-10-24,13:02:15
62469,2023-06-02,20:00:02
67538,2023-12-27,13:30:33
47746,2023-11-25,12:01:32
37230,07/01/2023,21:30:39
14227,2023-12-31,
62193,2023-07-28,17:02:53
46925,08/11/2023,18:14:58
82135,2023-06-04,14:46:04
75755,2023-01-02,15:40:36
7460,2023-05-04,19:59:26
17451,2023-02-19,17:51:12
35190,2023-10-06,21:23:18
31129,2023-06-12,13:03:27
2915,2023-10-28,19:43:39
17343,2023-03-26,21:14:33
61693,2023-08-03,16:08:53
78791,2023-08-25,20:23:39
34653,2023-06-06,19:12:31
62704,2023-06-28,16:31:30
79196,2023-07-02,17:40:36
50990,2023-09-10,21:18:53
53534,2023-10-04,22:31:50
49716,2023-03-27,15:33:48
21617,2023-11-07,14:11:37
70090,2023-03-25,16:45:20
43398,2023-05-20,15:58:08
55381,2023-08-30,13:03:36
49049,2023-02-25,14:17:04
4660,2023-10-07,18:21:13
64016,2023-02-10,20:46:20
56688,2023-04-08,16:21:41
34837,2023-01-03,21:36:27
41519,2023-12-23,20:09:47
39295,2023-10-01,19:21:29
2189,2023-04-25,22:01:29
41442,2023-07-01,21:25:50
27986,2023-10-13,21:09:47
57488,2023-06-03,21:04:02
74250,2023-06-08,21:26:34
73144,2023-01-02,12:25:46
17221,2023-05-22,19:53:32
569,2023-07-27,16:49:16
69388,2023-09-20,21:16:28
84606,2023-04-21,21:53:19
46877,2023-07-31,19:27:14
42995,2023-01-29,19:41:46
16248,2023-03-09,21:04:43
36231,2023-03-03,18:19:33
23780,2023-07-22,20:33:49
58574,2023-12-15,14:27:17
24137,2023-05-30,13:11:55
25483,2023-03-07,18:46:41
43276,2023-05-31,11:03:11
73012,2023-09-30,14:48:32
51660,2023-04-19,20:48:25
32808,2023-12-01,21:52:48
5607,2023-05-09,21:09:42
15940,2023-04-19,14:48:26
62933,2023-03-14,20:04:25
41440,2023-09-12,21:50:16
5856,2023-08-14,15:21:17
42355,2023-03-05,18:05:09
67652,06/06/23,19:32:10
37760,2023-06-17,20:19:28
27191,2023-05-05,15:05:54
54410,2023-03-28,13:23:32
71195,2023-08-20,17:05:20
59456,2023-11-08,20:15:37
35998,2023-01-04,17:45:46
1847,2023-10-30,20:19:37
11998,2023-11-28,20:02:03
49622,2023-03-16,18:00:34
66511,2023-04-10,14:43:25
73383,2023-03-11,16:00:27
84914,01-12-2023,13:26:26
25317,2023-01-10,13:57:45
62740,2023-01-19,17:37:50
70847,2023-06-02,21:21:06
13616,2023-08-18,19:54:34
82761,2023-02-11,22:30:00
28725,2023-02-20,15:26:58
82610,2023-03-21,13:49:13
8887,2023-10-04,16:50:21
21901,2023-03-29,20:15:44
17560,2023-09-25,13:11:20
129,2023-02-24,17:03:09
68632,2023-02-03,20:19:30
40984,06/26/2023,19:18:34
66771,2023-04-11,16:45:13
41371,2023-03-02,
5290,2023-07-17,13:03:31
721,2023-09-07,17:53:34
28041,2023-01-25,19:54:48
5327,2023-01-01,20:24:57
7069,2023-03-12,13:15:04
30800,2023-06-29,16:15:32
61467,2023-06-12,18:40:42
35833,2023-01-20,13:10:33
49418,2023-07-16,21:32:58
31678,2023-02-06,14:33:10
35767,2023-09-02,16:57:37
